conta_contabil;uniorcam;saldo_atual_debito;saldo_atual_credito;especificacao;escrituracao;data_inicial;data_final;data_geracao;conferencia_externa;conferencia_saldo;conferencia_nivel;conferencia_natureza
2.1.1.4.2.01.02.00.00.00.00.000;1201;0,00;1.532,93;"CONTRIBUICAO A REGIME PROPRIO DE PREVIDENCIA (RPPS) (F)";S;2021-01-01;2021-03-31;2021-04-22;;testSaldoFinalDeContribuicaoAoRppsIgualAoSaldoLiquidadoAPagar;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.01.00.00.00.000;1201;0,00;0,00;"FORNECEDORES DO EXERCICIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.03.01.00.00.00.00.000;1201;0,00;29.487.962,35;"APOSENTADORIAS/PENSOES/OUTROS BENEFICIOS CONCEDIDOS DO PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.03.03.00.00.00.00.000;1201;327.087,63;0,00;"(-) CONTRIBUICOES DO APOSENTADO PARA O PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.03.05.00.00.00.00.000;1201;2.653.916,60;0,00;"(-) COMPENSACAO PREVIDENCIARIA DO PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.04.01.00.00.00.00.000;1201;0,00;62.683.912,51;"APOSENTADORIAS/PENSOES/OUTROS BENEFICIOS A CONCEDER DO PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.04.02.00.00.00.00.000;1201;9.550.460,24;0,00;"(-) CONTRIBUICOES DO ENTE PARA O PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.04.03.00.00.00.00.000;1201;9.550.460,24;0,00;"(-) CONTRIBUICOES DO ATIVO PARA O PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.04.04.00.00.00.00.000;1201;5.641.552,13;0,00;"(-) COMPENSACAO PREVIDENCIARIA DO PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.05.98.00.00.00.00.000;1201;35.880.184,35;0,00;"(-) OUTROS CREDITOS DO PLANO DE AMORTIZACAO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.07.01.00.00.00.00.000;1201;0,00;249.341,61;"AJUSTE DE RESULTADO ATUARIAL SUPERAVITARIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.1.01.00.00.00.00.00.000;1201;0,00;0,00;"SUPERAVITS OU DEFICITS DO EXERCICIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.1.02.00.00.00.00.00.000;1201;0,00;20.017.743,22;"SUPERAVITS OU DEFICITS DE EXERCICIOS ANTERIORES";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.2.01.00.00.00.00.00.000;1201;0,00;0,00;"SUPERAVITS OU DEFICITS DO EXERCICIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.2.02.00.00.00.00.00.000;1201;0,00;0,00;"SUPERAVITS OU DEFICITS DE EXERCICIOS ANTERIORES";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.1.1.1.1.01.22.00.00.00.00.000;1201;40.009,72;0,00;"13o SALARIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.1.2.1.2.01.00.00.00.00.00.000;1201;4.598,79;0,00;"CONTRIBUICAO PATRONAL PARA O RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.2.1.1.1.01.01.00.00.00.00.000;1201;55.346,46;0,00;"APOSENTADORIAS POR TEMPO DE CONTRIBUICAO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.2.1.1.1.01.03.00.00.00.00.000;1201;64.307,40;0,00;"APOSENTADORIAS POR INVALIDEZ";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.2.1.1.1.01.07.00.00.00.00.000;1201;223.232,28;0,00;"APOSENTADORIAS PROFESSOR";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.2.1.1.1.01.99.00.00.00.00.000;1201;119.348,01;0,00;"OUTRAS APOSENTADORIAS ESPECIAIS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.2.2.1.1.01.00.00.00.00.00.000;1201;148.347,79;0,00;"PROVENTOS DE PENSOES";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.3.2.2.1.01.00.00.00.00.00.000;1201;1.300,00;0,00;"CONSULTORIA E ASSESSORIA";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.3.2.2.1.31.00.00.00.00.00.000;1201;2.100,00;0,00;"JETONS E GRATIFICACOES A CONSELHEIROS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.3.2.3.1.51.00.00.00.00.00.000;1201;342,00;0,00;"SERVICOS TECNICOS PROFISSIONAIS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.6.1.4.1.03.00.00.00.00.00.000;1201;484.680,36;0,00;"REDUCAO A VALOR RECUPERAVEL DE INVESTIMENTOS DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
3.9.7.2.1.00.00.00.00.00.00.000;1201;27.582.753,61;0,00;"VPD DE PROVISOES MATEMATICAS PREVIDENCIARIAS A LONGO PRAZO - CONSOLIDACAO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
4.2.1.1.1.02.01.00.00.00.00.000;1201;0,00;256.148,28;"CONTRIBUICAO DO SERVIDOR - RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
4.2.1.1.2.01.01.00.00.00.00.000;1201;0,00;288.142,03;"CONTRIBUICAO PATRONAL DE SERVIDOR ATIVO - RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
4.2.1.1.2.01.99.00.00.00.00.000;1201;0,00;4.598,79;"OUTRAS CONTRIBUICOES PATRONAIS AO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
4.2.1.1.2.03.00.00.00.00.00.000;1201;0,00;362.449,78;"CONTRIBUICAO PREVIDENCIARIA PARA AMORTIZACAO DO DEFICIT ATUARIAL";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
4.4.3.9.2.01.00.00.00.00.00.000;1201;0,00;91.968,50;"ATUALIZACAO DA DIVIDA PARCELADA DO EXECUTIVO COM O RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
4.4.5.1.1.03.00.00.00.00.00.000;1201;0,00;31.140,32;"REMUNERACAO DOS INVESTIMENTOS DO REGIME PROPRIO DE PREVIDENCIA SOCIAL";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
4.9.7.1.1.02.00.00.00.00.00.000;1201;0,00;7.565.010,38;"REVERSAO DE PROVISOES MATEMATICAS PREVIDENCIARIAS A LONGO PRAZO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
5.2.1.1.1.00.00.00.00.00.00.000;1201;5.158.605,61;0,00;"PREVISAO INICIAL DA RECEITA  BRUTA";S;2021-01-01;2021-03-31;2021-04-22;;"testPrevisaoInicialDaReceitaBrutaContabilizada, testFechamentoDosNiveisDasContasOrcamentariasDeReceita";;testFechamentoDosLancamentosNasContasOrcamentarias
5.2.2.1.1.01.00.00.00.00.00.000;1201;5.158.605,61;0,00;"CREDITO INICIAL";S;2021-01-01;2021-03-31;2021-04-22;;testCreditoInicialContabilizado;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria;testFechamentoDosLancamentosNasContasOrcamentarias
5.2.2.9.2.01.01.00.00.00.00.000;1201;628.872,73;0,00;"EMISSAO DE EMPENHOS";S;2021-01-01;2021-03-31;2021-04-22;;testEmissaoDeNotasDeEmpenhosContabilizada;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.1.1.0.00.00.00.00.00.00.000;1201;0,00;4.720.647,13;"RECEITA A REALIZAR";S;2021-01-01;2021-03-31;2021-04-22;;"testSaldoDaReceitaARealizar, testFechamentoDosNiveisDasContasOrcamentariasDeReceita";;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.1.2.0.00.00.00.00.00.00.000;1201;0,00;806.698,83;"RECEITA REALIZADA";S;2021-01-01;2021-03-31;2021-04-22;;"testReceitaBrutaArrecadadaContabilizada, testFechamentoDosNiveisDasContasOrcamentariasDeReceita";;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.1.3.9.00.00.00.00.00.00.000;1201;368.740,35;0,00;"(-) OUTRAS DEDUCOES DA RECEITA REALIZADA";S;2021-01-01;2021-03-31;2021-04-22;;"testOutrasDeducaoDaReceitaArrecadadaContabilizada, testFechamentoDosNiveisDasContasOrcamentariasDeReceita";;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.2.1.1.00.00.00.00.00.00.000;1201;0,00;4.529.732,88;"CREDITO DISPONIVEL";S;2021-01-01;2021-03-31;2021-04-22;;testDotacaoDisponivelContabilizada;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.2.1.3.01.00.00.00.00.00.000;1201;0,00;9.950,00;"CREDITO EMPENHADO A LIQUIDAR";S;2021-01-01;2021-03-31;2021-04-22;;testCreditoEmpenhadoALiquidarContabilizado;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.2.1.3.03.00.00.00.00.00.000;1201;0,00;1.532,93;"CREDITO EMPENHADO LIQUIDADO A PAGAR";S;2021-01-01;2021-03-31;2021-04-22;;testCreditoLiquidadoAPagarContabilizado;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.2.1.3.04.00.00.00.00.00.000;1201;0,00;617.389,80;"CREDITO EMPENHADO LIQUIDADO PAGO";S;2021-01-01;2021-03-31;2021-04-22;;testCreditoLiquidadoPagoContabilizado;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.2.9.2.01.01.00.00.00.00.000;1201;0,00;9.950,00;"EMPENHOS A LIQUIDAR";S;2021-01-01;2021-03-31;2021-04-22;;testEmpenhosALiquidarContabilizado;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.2.9.2.01.03.00.00.00.00.000;1201;0,00;1.532,93;"EMPENHOS LIQUIDADOS A PAGAR";S;2021-01-01;2021-03-31;2021-04-22;;testEmpenhoLiquidadoAPagarContabilizado;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa;testFechamentoDosLancamentosNasContasOrcamentarias
6.2.2.9.2.01.04.00.00.00.00.000;1201;0,00;617.389,80;"EMPENHOS LIQUIDADOS PAGOS";S;2021-01-01;2021-03-31;2021-04-22;;testEmpenhosPagosContabilizado;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa;testFechamentoDosLancamentosNasContasOrcamentarias
7.1.1.9.1.01.00.00.00.00.00.000;1201;45.363.295,71;0,00;"PLANO DE AMORTIZACAO DO DEFICIT ATUARIAL";S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDePlanoDeAmortizacaoDoDeficitAtuarial;testFechamentoDosLancamentosNasContasDeControle
7.1.2.3.1.02.00.00.00.00.00.000;1201;20.200,00;0,00;"CONTRATOS DE SERVICOS";S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeServicos;testFechamentoDosLancamentosNasContasDeControle
7.2.1.1.1.01.00.00.00.00.00.000;1201;19.813.836,96;0,00;"RECURSOS ORDINARIOS";S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades;testFechamentoDosLancamentosNasContasDeControle
7.2.1.1.2.00.50.00.00.00.00.000;1201;7.406.975,55;0,00;"DISPONIBILIDADE POR DESTINACAO DE RECURSOS - RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades;testFechamentoDosLancamentosNasContasDeControle
7.9.9.9.2.00.00.00.00.00.00.000;1201;0,00;0,00;"SUPERAVIT FINANCEIRO DISPONIVEL";S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDeSuperavitFinanceiroDisponivel;testFechamentoDosLancamentosNasContasDeControle
8.1.1.9.1.01.00.00.00.00.00.000;1201;0,00;45.363.295,71;"PLANO DE AMORTIZACAO DO DEFICIT ATUARIAL";S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDePlanoDeAmortizacaoDoDeficitAtuarial;testFechamentoDosLancamentosNasContasDeControle
8.1.2.3.1.02.01.00.00.00.00.000;1201;0,00;6.500,00;"A EXECUTAR";S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeServicos;testFechamentoDosLancamentosNasContasDeControle
8.1.2.3.1.02.02.00.00.00.00.000;1201;0,00;13.700,00;EXECUTADOS;S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeServicos;testFechamentoDosLancamentosNasContasDeControle
8.2.1.1.1.01.00.50.00.00.00.000;1201;0,00;26.475.999,77;"DISPONIBILIDADE POR DESTINACAO DE RECURSOS - RPPS";S;2021-01-01;2021-03-31;2021-04-22;;testRecursosDisponiveis;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades;testFechamentoDosLancamentosNasContasDeControle
8.2.1.1.2.01.00.50.00.00.00.000;1201;0,00;9.950,00;"DISPONIBILIDADE POR DESTINACAO DE RECURSOS COMPROMETIDA POR EMPENHO - RPPS";S;2021-01-01;2021-03-31;2021-04-22;;testRecursosComprometidosPorEmpenhoALiquidar;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades;testFechamentoDosLancamentosNasContasDeControle
8.2.1.1.3.01.00.50.00.00.00.000;1201;0,00;1.532,93;"DISPONIBILIDADE POR DESTINACAO DE RECURSOS - RPPS";S;2021-01-01;2021-03-31;2021-04-22;;testRecursosComprometidosPorLiquidacaoEExtrasAPagar;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades;testFechamentoDosLancamentosNasContasDeControle
8.2.1.1.4.00.50.00.00.00.00.000;1201;0,00;733.329,81;"DISPONIBILIDADE POR DESTINACAO DE RECURSOS - RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades;testFechamentoDosLancamentosNasContasDeControle
8.9.9.9.2.00.50.00.00.00.00.000;1201;0,00;0,00;"0050 RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;testFechamentoDosNiveisDasContasDeControleDeSuperavitFinanceiroDisponivel;testFechamentoDosLancamentosNasContasDeControle
