conta_contabil;uniorcam;saldo_atual_debito;saldo_atual_credito;especificacao;escrituracao;data_inicial;data_final;data_geracao;conferencia_externa;conferencia_saldo;conferencia_nivel;conferencia_natureza
1.1.1.1.1.19.02.03.00.00.00.000;0201;0,00;0,00;"BB ICMS EXP PREF MOV 0001 3732-X/283.141-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.04.00.00.00.000;0201;0,00;0,00;"BB FE PREF MOV 0001 3732-X/4.015-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.05.00.00.00.000;0201;0,00;0,00;"BB ITR PREF MOV 0001 3732-X/7.385-7";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.07.00.00.00.000;0801;6.601,00;0,00;"BB GERAL FMS MOV 0040 3732-X/10.062-5";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.07.00.00.00.000;0801;0,00;6.601,00;"BB GERAL FMS MOV 0040 3732-X/10.062-5";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.09.00.00.00.000;0201;97.406,09;0,00;"BB RETENCOES PREF MOV 8001 3732-X/7.132-3";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.11.00.00.00.000;0201;0,00;0,00;"BB MDE PREF MOV 0020 3732-X/5.011-3";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.12.00.00.00.000;0201;0,00;0,00;"BB PNATE-TE PREF MOV 1016 3732-X/7.767-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.13.00.00.00.000;0201;0,00;0,00;"BB QSE PREF MOV 1014 3732-X/7.684-8";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.14.00.00.00.000;0201;0,00;0,00;"BB CIDE PREF MOV 1018 3732-X/7.827-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.15.00.00.00.000;0801;1.011,40;0,00;"BB FUNDEB PREF MOV 0031 3732-X/11.552-5";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.15.00.00.00.000;0801;0,00;1.011,40;"BB FUNDEB PREF MOV 0031 3732-X/11.552-5";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.16.00.00.00.000;0801;0,00;0,00;"BB ORGANIZACAO FARMACIA INVESTIMENTO FMS MOV 4505 3732-X/11.482-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.21.00.00.00.000;0201;0,00;0,00;"BB PNAE FUNDAMENTAL PREF MOV 1001 3732-X/9.622-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.22.00.00.00.000;0201;0,00;0,00;"BB PNAE CRECHE PREF MOV 1031 3732-X/9.622-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.23.00.00.00.000;0201;0,00;0,00;"BB PNAE PRE ESCOLA PREF MOV 1033 3732-X/9.622-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.24.00.00.00.000;0201;2.402,02;0,00;"BB PNAE EJA PREF MOV 1059 3732-X/9.622-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.30.00.00.00.000;0902;8.328,00;0,00;"BB COVID-19/SUAS ALIM FMAS MOV 1069 3732-X/11.775-7";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.30.00.00.00.000;0902;0,00;8.328,00;"BB COVID-19/SUAS ALIM FMAS MOV 1069 3732-X/11.775-7";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.42.00.00.00.000;0201;0,00;0,00;"BB SNA PREF MOV 0001 3732-X/8.928-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.43.00.00.00.000;0201;1.314,40;0,00;"BB PNAE AEE PREF MOV 1071 3732-X/9.622-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.56.00.00.00.000;0701;0,00;0,00;"BB CIP PREF MOV 0001 3732-X/7.641-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.57.00.00.00.000;0902;0,00;0,00;"BB PSB PBFI FMAS MOV 1064 3732-X/11.143-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.58.00.00.00.000;0902;0,00;0,00;"BB PSB SCFV FMAS MOV 1021 3732-X/11.143-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.59.00.00.00.000;0902;0,00;0,00;"BB GBF IGDBF FMAS MOV 1038 3732-X/11.141-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.63.00.00.00.000;0902;0,00;0,00;"BB GSUAS IGD-SUAS FMAS MOV 1067 3732-X/11.142-2";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.64.00.00.00.000;0202;0,00;0,00;"BB IR DOACAO FUNDICA MOV 1050 3732-X/11.012-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.72.00.00.00.000;0201;2.207,49;0,00;"BB BLOCO DE CUSTEIO SUS MOV 4000 FMS 3732-X/11.473-1";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.72.01.00.00.000;0801;0,00;0,00;"BB CUSTEIO ATENCAO BASICA FMS MOV 4500 3732-X/11.473-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.72.03.00.00.000;0801;0,00;0,00;"BB CUSTEIO ASSIST. FARMACEUTICA FMS MOV 4503 3732-X/11.473-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.72.04.00.00.000;0801;0,00;0,00;"BB CUSTEIO VISA MOV FMS 4502 3732-X/11.473-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.72.06.00.00.000;0801;2.207,49;0,00;"BB CUSTEIO MAC FMS MOV 4501 3732-X/11.473-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.03.00.00.00.00.000;0201;0,00;0,00;"CAIXA ECONOMICA FEDERAL";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.03.28.00.00.00.000;1002;0,00;0,00;"CEF CONVENIO 877247/2018/SICONV PROP054169/2018SICONV MOV 1207 0521-5/006.647250-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.03.30.00.00.00.000;1001;0,00;0,00;"CEF MOV CONVENIO 876152/2018/SICONV PROP045635/2018SICONV MOV 1206 0521/006.00647249-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.03.32.00.00.00.000;0602;0,00;0,00;"CEF PAV. URB. SICONV CONVENIO 847175/17 MOV 1203 0521/006/00647226-7";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.00.00.00.00.000;0201;929,29;0,00;"BANCO DO ESTADO DO RIO GRANDE DO SUL";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.01.00.00.00.000;0801;363,60;0,00;"BANRISUL GERAL FMS MOV 0040 1064/04.028819.0-2";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.01.00.00.00.000;0801;0,00;363,60;"BANRISUL GERAL FMS MOV 0040 1064/04.028819.0-2";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.02.00.00.00.000;0201;0,00;0,00;"BANRISUL GERAL PREF MOV 0001 1064/04.013153.0-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.04.00.00.00.000;0801;0,00;0,00;"BANRISUL DENGUE VERAO FMS MOV 4190 1064/04.080916.0-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.07.00.00.00.000;0201;0,00;0,00;"BANRISUL PEATERS PREF MOV 1017 944/04.019706.0-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.08.00.00.00.000;0201;2.026,00;0,00;"BANRISUL MDE PREF MOV 0020 1064/04.024021.0-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.08.00.00.00.000;0201;0,00;2.026,00;"BANRISUL MDE PREF MOV 0020 1064/04.024021.0-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.09.00.00.00.000;0401;0,00;0,00;"BANRISUL PIT PREF MOV 1112 0944/04.013153.0-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.10.00.00.00.000;0801;0,00;0,00;"BANRISUL PSF FMS MOV 4090 1064/04.028722.4-5";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.11.00.00.00.000;0801;0,00;0,00;"BANRISUL PIM FMS MOV 4160 1064/04.028722.3-7";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.12.00.00.00.000;0801;0,00;0,00;"BANRISUL FARMACIA BASICA FMS MOV 4050 1064/04.028722.1-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.14.00.00.00.000;1002;0,00;0,00;"BANRISUL CONS.POP.AGRIC.EQUIP 2020 MOV 1004 1064/04.083068.0-2";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.15.00.00.00.000;0801;0,00;0,00;"BANRISUL PIES FMS MOV  4011 1064/04.028722.9-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.17.00.00.00.000;1002;0,00;0,00;"BANRISUL CONTRAP CONS.POP.AGRIC.EQUIP 2020 MOV 0001 1064/04.083068.0-2";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.19.00.00.00.000;0201;0,00;0,00;"BANRISUL RETENCOES MOV 8001 1064/04.013153.0-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.21.00.00.00.000;0801;89,29;0,00;"BANRISUL CONSTRUCAO UBS FMS MOV 4303 1064/04.080276.0-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.22.00.00.00.000;0801;0,00;0,00;"BANRISUL COVID-19 PADU SRAG PORT.SES.256/2021 MOV 4011 1064/04.080249.0-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.28.00.00.00.000;1004;840,00;0,00;"BANRISUL GERAL FMDMA MOV 1005 1064/04.028554.0-5";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.32.00.00.00.000;0902;0,00;0,00;"BANRISUL OASF FEAS FMAS MOV 1103 1064/04.080682.0-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.12.42.00.00.00.000;0801;0,00;0,00;"BANRISUL FRALDAS FMS MOV 4050 1064/04.081637.0-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.99.00.00.00.00.000;0201;0,00;0,00;"DEMAIS CONTAS BANCARIAS";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.99.01.00.00.00.000;0201;0,00;0,00;SICREDI;N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.99.01.01.00.00.000;0201;0,00;0,00;"SICREDI PREF MOV 0001 0306/07878-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.99.01.02.00.00.000;0201;0,00;0,00;"SICREDI PREF RETENCAO 8001 0306/07878-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.30.01.00.00.00.00.000;0401;0,00;0,00;"SICREDI ARRECADACAO 0001 0306/14.941-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.00.00.00.00.00.000;0201;4.573.885,62;0,00;"APLICACOES FINANCEIRAS DE LIQUIDEZ IMEDIATA";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.02.00.00.00.00.000;0201;112.725,75;0,00;POUPANCA;N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.02.13.00.00.00.000;0502;24.098,76;0,00;"BB PNAE CRECHE PREF POUP 1031 3732-X/9.622-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.02.27.00.00.00.000;0602;23.461,32;0,00;"CEF POUP PAV CONV829118/2016 1200 0521/006/00647216-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.02.29.00.00.00.000;1002;0,00;0,00;"CEF CONVENIO 877247/2018/SICONV PROP054169/2018SICONV POUP 1207 0521-5/006.647250-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.02.31.00.00.00.000;1001;0,00;0,00;"CEF POUP CONVENIO 876152/2018/SICONV PROP045635/2018SICONV POUP 1206 0521/006.00647249-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.02.33.00.00.00.000;0602;65.165,67;0,00;"CEF PAV. URB. SICONV CONVENIO 847175/17 POUP 1203 0521/006/00647226-7";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.00.00.00.00.000;0201;4.461.159,87;0,00;"FUNDOS DE INVESTIMENTO";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.01.00.00.00.000;0201;1.628.477,33;0,00;"BB GERAL PREF APLIC 0001 3732-X/7.132-3";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.02.00.00.00.000;0201;9.706,51;0,00;"BB ORGANIZACAO FARMACIA INVESTIMENTO FMS APLIC 4505 3732-X/11.842-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.03.00.00.00.000;0201;116.757,82;0,00;"BB QSE PREF APLIC 1014 3732-X/7.684-8";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.06.00.00.00.000;0201;1.089.126,00;0,00;"BANRISUL GERAL PREF APLIC 0001 944/04.013153.0-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.07.00.00.00.000;0502;597.368,58;0,00;"BB FUNDEB PREF APLIC 0031 3732-X/11.552-5";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.08.00.00.00.000;0201;43.387,43;0,00;"BANRISUL PEATERS PREF APLIC 1017 944/04.019706.0-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.09.00.00.00.000;0201;7.338,09;0,00;"BB PNATE PREF APLIC 1016 3732-X/7.767-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.10.00.00.00.000;0801;0,00;0,00;"BANRISUL DENGUE VERAO FMS APLIC 4190 1064/04.080916.0-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.11.00.00.00.000;0502;33.866,83;0,00;"BB PNAE FUNDAMENTAL PREF APLIC 1001 3732-X/9.622-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.12.00.00.00.000;0502;15.994,87;0,00;"BB PNAE PRE ESCOLA PREF APLIC 1033 3732-X/9.622-9";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.14.00.00.00.000;0901;33.249,33;0,00;"BB ORGANIZACAO FARMACIA BLOCO CUSTEIO FMS APLIC 4503 3732-X/11.473-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.17.00.00.00.000;0201;494.738,04;0,00;"SICREDI PREF APLIC 0001 0306/07878-4";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.26.00.00.00.000;0401;3.676,51;0,00;"BANRISUL PIT PREF APLIC 1112 0944/04.013153.0-6";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.27.00.00.00.000;0201;0,00;0,00;"BB CIDE PREF APLIC 1018 3732-X/7.827-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.34.00.00.00.000;0801;6.519,24;0,00;"BANRISUL FARMACIA BASICA FMS APLIC 4050 1064/04.028722.1-0";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.38.00.00.00.000;0902;634,01;0,00;"BB COVID-19/SUAS EPI FMAS APLIC 1068 3732-X/11.776-5";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.50.03.39.00.00.00.000;0902;1.812,86;0,00;"BB COVID-19/SUAS ALIM FMAS APLIC 1069 3732-X/11.775-7";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
